season_year,mean_anom,enso_phase
1950,-1.3025,Strong La Nina
1951,-0.45833333333333337,Neutral
1952,0.5633333333333334,Weak El Nino
1953,0.41333333333333333,Neutral
1954,0.4033333333333334,Neutral
1955,-0.6966666666666667,Weak La Nina
1956,-1.03,Strong La Nina
1957,0.013333333333333308,Neutral
1958,1.49,Strong El Nino
1959,0.5316666666666666,Weak El Nino
1960,-0.03833333333333334,Neutral
1961,0.06166666666666667,Neutral
1962,-0.21166666666666667,Neutral
1963,-0.145,Neutral
1964,0.6933333333333334,Weak El Nino
1965,-0.3933333333333333,Neutral
1966,1.3116666666666668,Strong El Nino
1967,-0.39166666666666666,Neutral
1968,-0.5366666666666666,Weak La Nina
1969,0.9416666666666667,Weak El Nino
1970,0.46166666666666667,Neutral
1971,-1.12,Strong La Nina
1972,-0.4083333333333333,Neutral
1973,1.29,Strong El Nino
1974,-1.605,Strong La Nina
1975,-0.6466666666666667,Weak La Nina
1976,-1.1883333333333332,Strong La Nina
1977,0.605,Weak El Nino
1978,0.4316666666666667,Neutral
1979,0.08333333333333334,Neutral
1980,0.48833333333333334,Neutral
1981,-0.25,Neutral
1982,0.07499999999999998,Neutral
1983,1.8900000000000001,Strong El Nino
1984,-0.6166666666666667,Weak La Nina
1985,-0.9166666666666666,Weak La Nina
1986,-0.35,Neutral
1987,1.1316666666666666,Strong El Nino
1988,0.5900000000000001,Weak El Nino
1989,-1.4466666666666668,Strong La Nina
1990,0.11833333333333333,Neutral
1991,0.32666666666666666,Neutral
1992,1.475,Strong El Nino
1993,0.19166666666666668,Neutral
1994,0.11833333333333333,Neutral
1995,0.7683333333333333,Weak El Nino
1996,-0.7683333333333333,Weak La Nina
1997,-0.27,Neutral
1998,1.8983333333333334,Strong El Nino
1999,-1.325,Strong La Nina
2000,-1.3433333333333333,Strong La Nina
2001,-0.5783333333333334,Weak La Nina
2002,-0.08166666666666665,Neutral
2003,0.7233333333333334,Weak El Nino
2004,0.29666666666666663,Neutral
2005,0.575,Weak El Nino
2006,-0.6616666666666666,Weak La Nina
2007,0.38666666666666666,Neutral
2008,-1.4266666666666667,Strong La Nina
2009,-0.6433333333333333,Weak La Nina
2010,1.1383333333333334,Strong El Nino
2011,-1.25,Strong La Nina
2012,-0.795,Weak La Nina
2013,-0.27666666666666667,Neutral
2014,-0.25833333333333336,Neutral
2015,0.5916666666666667,Weak El Nino
2016,2.0583333333333336,Strong El Nino
2017,-0.24666666666666667,Neutral
2018,-0.7966666666666666,Weak La Nina
2019,0.7583333333333333,Weak El Nino
2020,0.43833333333333335,Neutral
2021,-0.99,Weak La Nina
2022,-0.985,Weak La Nina
2023,-0.475,Neutral
2024,1.4966666666666666,Strong El Nino
2025,-0.3566666666666667,Neutral
